id,episode,season,ep#,date-aired,written-by,directed-by,synopsis,wiki-link,yt-link
1,Diversity Day,1,2,29-Mar-05,B. J. Novak,Ken Kwapis,"In this episode, Michael's (Steve Carell) controversial imitation of a Chris Rock routine forces the staff to undergo a racial diversity seminar. A consultant (Larry Wilmore) arrives to teach the staff about tolerance and diversity, but Michael insists on imparting his own knowledge—aggravating both the consultant and the entire office staff—and creates his own diversity seminar. He eventually assigns each staff member an index card with a different race on it, causing tempers to slowly simmer until they finally snap. Meanwhile, Jim struggles to keep hold of a lucrative contract extension, but Dwight makes the sale for himself.",https://en.wikipedia.org/wiki/Diversity_Day_(The_Office),/G4Ifb9qwBjg
2,The Dundies,2,1,20-Sep-05,Mindy Kaling,Greg Daniels,"In this episode, Michael Scott (Steve Carell) hosts ""The Dundies"", the annual awards show in which he presents awards to various members of the office. But the night does not turn out as he plans, and Michael ends up angering or humiliating the majority of the office staff. Meanwhile, after Pam Beesly (Jenna Fischer) argues with her fiancé, she becomes obviously intoxicated and kisses Jim Halpert (John Krasinski).",https://en.wikipedia.org/wiki/The_Dundies,/XXjStnr_g3M
3,Sexual Harassment,2,2,27-Sep-05,B. J. Novak,Ken Kwapis,"In this episode, Michael Scott (Steve Carell) is concerned when he believes Dunder Mifflin is targeting him for sexual harassment training. Meanwhile, Pam Beesly (Jenna Fischer) anxiously awaits the arrival of her mother, and Michael's obnoxious friend Todd Packer (David Koechner) spends the day in the office.",https://en.wikipedia.org/wiki/Sexual_Harassment_(The_Office),/1mipOFszqNE
4,Booze Cruise,2,11,5-Jan-06,Greg Daniels,Ken Kwapis,"In this episode, Michael Scott (Steve Carell) brings the office on a booze cruise and plans on doing some ""motivational"" speaking. After he learns that the captain of the boat has other plans, a power struggle emerges. Meanwhile, Pam Beesly (Jenna Fischer) and Roy's (David Denman) previously stagnant relationship blossoms, while Jim Halpert (John Krasinski) and Katy's (Amy Adams) begins to falter.",https://en.wikipedia.org/wiki/Booze_Cruise_(The_Office),/2Isu-RKrrdc
5,The Injury,2,12,12-Jan-06,Mindy Kaling,Bryan Gordon,"In this episode, Michael Scott (Steve Carell) accidentally burns his foot on his George Foreman Grill, but insists on coming to work anyway. When none of his employees, except for Dwight Schrute (Rainn Wilson), help him, Michael feels under-appreciated. Meanwhile, Dwight starts acting strangely nice to everyone, especially Pam Beesly (Jenna Fischer).",https://en.wikipedia.org/wiki/The_Injury,/m_HR_o0jDqw
6,Casino Night,2,22,11-May-06,Steve Carell,Ken Kwapis,"In this episode, the office hosts a casino night, to which Michael Scott (Carell) inadvertently invites two dates. Meanwhile, Jim Halpert (John Krasinski) decides to transfer to Dunder Mifflin's Stamford branch and reveals to Pam Beesly (Jenna Fischer) his feelings for her.",https://en.wikipedia.org/wiki/Casino_Night,/Zsqr-K9Kats
7,Gay Witch Hunt,3,1,21-Sep-06,Greg Daniels,Ken Kwapis,"In this episode, Michael Scott (Steve Carell) discovers that Oscar Martinez (Oscar Nunez) is gay. Michael tries to show Oscar that he is accepting of his sexual orientation, but only ends up insulting him. It is also revealed that after kissing Pam Beesly (Jenna Fischer), Jim Halpert (John Krasinski) went through with transferring to Stamford. In addition, Pam called off her engagement with Roy Anderson (David Denman).",https://en.wikipedia.org/wiki/Gay_Witch_Hunt,/UOGenYI3cs4
8,The Return,3,14,18-Jan-07,Lee Eisenberg & Gene Stupnitsky & Michael Schur,Greg Daniels,"In this episode, the office celebrates Oscar Martinez's (Oscar Nunez) return, who had been on vacation since the first episode of the season. Meanwhile, a recently departed Dwight Schrute (Rainn Wilson) finds a job at Staples.",https://en.wikipedia.org/wiki/The_Return_(The_Office),/aOmEhX1LzZ0
9,Safety Training,3,20,12-Apr-07,B. J. Novak,Harold Ramis,"In this episode, Michael Scott (Steve Carell) attempts to prove life in an office is dangerous after Darryl Philbin (Craig Robinson) berates him about the dangers of the warehouse. The attempts lead him to the roof of the building, where he tries to show that depression caused by an office can lead to desperate circumstances. Meanwhile, gambling between the other employees of the office leads Karen Filippelli (Rashida Jones) to discover that she is still an outsider.",https://en.wikipedia.org/wiki/Safety_Training,/9eqze5JWNjY
10,Beach Games,3,23,10-May-07,Jennifer Celotta & Greg Daniels,Harold Ramis,"In this episode, the office goes to a nearby lake for some ""beach games"". It is revealed that Michael (Steve Carell) is being interviewed for a position at Corporate and that the winner of the beach games will become regional manager. Meanwhile, Dwight (Rainn Wilson) and Angela (Angela Kinsey) sabotage Andy (Ed Helms), and Pam (Jenna Fischer) spends her day taking notes of the office workers' activities.",https://en.wikipedia.org/wiki/Beach_Games,/2jB0a81opkQ
